iter	Passed	Remaining
870	8546	6171
871	8555	6161
872	8565	6151
873	8575	6141
874	8584	6131
875	8595	6122
876	8604	6112
877	8615	6103
878	8624	6093
879	8634	6083
880	8643	6073
881	8653	6063
882	8662	6053
883	8672	6043
884	8681	6033
885	8691	6023
886	8700	6013
887	8710	6003
888	8720	5993
889	8730	5983
890	8739	5973
891	8750	5964
892	8760	5954
893	8769	5944
894	8779	5934
895	8789	5924
896	8798	5914
897	8808	5904
898	8817	5894
899	8827	5884
900	8836	5874
901	8846	5865
902	8857	5856
903	8868	5846
904	8877	5836
905	8887	5826
906	8896	5816
907	8906	5806
908	8915	5796
909	8925	5786
910	8934	5776
911	8944	5766
912	8954	5757
913	8964	5747
914	8974	5737
915	8983	5727
916	8993	5717
917	9003	5708
918	9033	5711
919	9047	5704
920	9059	5695
921	9069	5685
922	9079	5675
923	9089	5666
924	9100	5656
925	9110	5647
926	9119	5637
927	9128	5626
928	9138	5616
929	9148	5607
930	9158	5597
931	9167	5587
932	9176	5577
933	9186	5566
934	9196	5557
935	9206	5547
936	9215	5537
937	9225	5527
938	9235	5517
939	9244	5507
940	9255	5498
941	9265	5488
942	9274	5478
943	9284	5468
944	9293	5458
945	9303	5448
946	9313	5438
947	9322	5428
948	9332	5418
949	9341	5408
950	9351	5398
951	9360	5388
952	9370	5378
953	9380	5368
954	9389	5358
955	9399	5348
956	9409	5338
957	9418	5328
958	9428	5318
959	9437	5308
960	9447	5298
961	9457	5289
962	9466	5279
963	9476	5269
964	9486	5259
965	9496	5249
966	9505	5239
967	9515	5229
968	9524	5219
969	9534	5209
970	9544	5199
971	9553	5189
972	9563	5179
973	9572	5169
974	9582	5159
975	9592	5150
976	9602	5140
977	9612	5130
978	9622	5120
979	9631	5110
980	9641	5100
981	9651	5090
982	9661	5081
983	9670	5071
984	9680	5061
985	9689	5051
986	9699	5041
987	9708	5031
988	9718	5021
989	9727	5011
990	9737	5001
991	9747	4991
992	9757	4981
993	9768	4972
994	9777	4962
995	9787	4952
996	9796	4942
997	9806	4932
998	9816	4922
999	9825	4912
1000	9835	4902
1001	9845	4893
1002	9854	4883
1003	9864	4873
1004	9874	4863
1005	9883	4853
1006	9893	4843
1007	9902	4833
1008	9912	4823
1009	9921	4813
1010	9931	4803
1011	9940	4793
1012	9950	4783
1013	9959	4773
1014	9969	4763
1015	9978	4753
1016	9990	4744
1017	10003	4736
1018	10012	4726
1019	10022	4716
1020	10031	4706
1021	10041	4696
1022	10051	4686
1023	10060	4676
1024	10070	4666
1025	10080	4656
1026	10090	4647
1027	10101	4637
1028	10110	4627
1029	10120	4617
1030	10129	4607
1031	10139	4598
1032	10149	4588
1033	10158	4578
1034	10168	4568
1035	10177	4558
1036	10187	4548
1037	10196	4538
1038	10206	4528
1039	10216	4518
1040	10225	4508
1041	10235	4498
1042	10245	4488
1043	10255	4479
1044	10264	4469
1045	10274	4459
1046	10284	4449
1047	10293	4439
1048	10303	4430
1049	10313	4419
1050	10322	4410
1051	10333	4400
1052	10342	4390
1053	10352	4380
1054	10361	4370
1055	10371	4360
1056	10380	4350
1057	10390	4340
1058	10400	4331
1059	10409	4320
1060	10419	4311
1061	10429	4301
1062	10438	4291
1063	10448	4281
1064	10458	4271
1065	10468	4261
1066	10477	4251
1067	10487	4241
1068	10496	4232
1069	10506	4222
1070	10515	4212
1071	10525	4202
1072	10534	4192
1073	10544	4182
1074	10554	4172
1075	10563	4162
1076	10573	4152
1077	10582	4142
1078	10592	4132
1079	10603	4123
1080	10613	4113
1081	10622	4103
1082	10632	4094
1083	10642	4084
1084	10651	4074
1085	10661	4064
1086	10671	4054
1087	10680	4044
1088	10689	4034
1089	10699	4024
1090	10709	4014
1091	10719	4004
1092	10728	3994
1093	10738	3985
1094	10748	3975
1095	10757	3965
1096	10768	3955
1097	10778	3946
1098	10788	3936
1099	10808	3930
1100	10819	3921
1101	10829	3911
1102	10838	3901
1103	10848	3891
1104	10858	3881
1105	10867	3871
1106	10877	3861
1107	10886	3851
1108	10901	3843
1109	10915	3835
1110	10926	3825
1111	10935	3815
1112	10945	3805
1113	10954	3795
1114	10965	3786
1115	10974	3776
1116	10984	3766
1117	10993	3756
1118	11003	3746
1119	11012	3736
1120	11022	3726
1121	11032	3716
1122	11041	3706
1123	11051	3697
1124	11061	3687
1125	11071	3677
1126	11081	3667
1127	11091	3657
1128	11101	3647
1129	11111	3638
1130	11120	3628
1131	11130	3618
1132	11139	3608
1133	11149	3598
1134	11158	3588
1135	11168	3578
1136	11177	3568
1137	11187	3558
1138	11196	3548
1139	11206	3538
1140	11216	3529
1141	11225	3519
1142	11234	3509
1143	11244	3499
1144	11253	3489
1145	11263	3479
1146	11273	3469
1147	11282	3459
1148	11292	3449
1149	11301	3439
1150	11310	3429
1151	11321	3419
1152	11330	3409
1153	11339	3399
1154	11349	3390
1155	11358	3380
1156	11368	3370
1157	11377	3360
1158	11387	3350
1159	11396	3340
1160	11406	3330
1161	11416	3320
1162	11425	3310
1163	11435	3300
1164	11445	3291
1165	11454	3281
1166	11464	3271
1167	11474	3261
1168	11483	3251
1169	11493	3241
1170	11502	3231
1171	11512	3221
1172	11521	3211
1173	11531	3202
1174	11542	3192
1175	11552	3182
1176	11562	3172
1177	11571	3163
1178	11580	3153
1179	11591	3143
1180	11601	3133
1181	11610	3123
1182	11620	3113
1183	11629	3103
1184	11639	3094
1185	11649	3084
1186	11658	3074
1187	11668	3064
1188	11677	3054
1189	11687	3044
1190	11696	3034
1191	11706	3024
1192	11716	3015
1193	11725	3005
1194	11735	2995
1195	11746	2985
1196	11756	2976
1197	11767	2966
1198	11777	2956
1199	11786	2946
1200	11796	2936
1201	11806	2926
1202	11815	2917
1203	11825	2907
1204	11835	2897
1205	11844	2887
1206	11854	2877
1207	11864	2867
1208	11873	2858
1209	11883	2848
1210	11892	2838
1211	11902	2828
1212	11912	2818
1213	11922	2808
1214	11931	2798
1215	11940	2788
1216	11950	2779
1217	11960	2769
1218	11970	2759
1219	11979	2749
1220	11989	2739
1221	11999	2729
1222	12008	2719
1223	12018	2710
1224	12027	2700
1225	12037	2690
1226	12047	2680
1227	12056	2670
1228	12066	2660
1229	12076	2650
1230	12085	2640
1231	12095	2631
1232	12105	2621
1233	12115	2611
1234	12124	2601
1235	12134	2591
1236	12143	2581
1237	12153	2572
1238	12163	2562
1239	12172	2552
1240	12182	2542
1241	12191	2532
1242	12201	2522
1243	12211	2512
1244	12220	2503
1245	12233	2493
1246	12245	2484
1247	12255	2474
1248	12264	2464
1249	12274	2454
1250	12283	2444
1251	12293	2435
1252	12302	2425
1253	12312	2415
1254	12321	2405
1255	12331	2395
1256	12341	2385
1257	12350	2375
1258	12359	2365
1259	12369	2356
1260	12379	2346
1261	12388	2336
1262	12398	2326
1263	12407	2316
1264	12417	2306
1265	12426	2296
1266	12437	2287
1267	12446	2277
1268	12456	2267
1269	12465	2257
1270	12475	2247
1271	12485	2237
1272	12494	2228
1273	12504	2218
1274	12513	2208
1275	12522	2198
1276	12532	2188
1277	12542	2178
1278	12551	2168
1279	12561	2158
1280	12570	2149
1281	12581	2139
1282	12591	2129
1283	12600	2119
1284	12610	2109
1285	12619	2099
1286	12629	2090
1287	12639	2080
1288	12649	2070
1289	12658	2060
1290	12668	2050
1291	12678	2041
